architecture,communication_mode,source,interval_ms,repetition,duration_seconds,expected_messages,received_messages,missing_messages,invalid_messages,loss_rate_percent,throughput_messages_per_second,throughput_percent,latency_samples,latency_avg_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_std_ms,latency_p95_ms,latency_p99_ms,latency_method,started_at,source_file
backend-node,rest-polling,serial,100,1,60,600,545,55,0,9.167,9.083,90.833,545,53.555,53.751,4.177,103.668,28.81,98.036,102.434,ntp_style_clock_synchronization,2026-05-30T14-46-39-653Z,backend-node_rest-polling_serial_1ms_rep1_2026-05-30T14-46-39-653Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,100,2,60,600,545,55,0,9.167,9.083,90.833,545,54.224,54.028,3.828,104.789,28.944,99.214,103.598,ntp_style_clock_synchronization,2026-05-30T14-55-50-930Z,backend-node_rest-polling_serial_1ms_rep2_2026-05-30T14-55-50-930Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,100,3,60,600,544,56,0,9.333,9.067,90.667,544,54.195,54.591,4.529,105.021,29.028,98.322,103.853,ntp_style_clock_synchronization,2026-05-30T15-05-02-185Z,backend-node_rest-polling_serial_1ms_rep3_2026-05-30T15-05-02-185Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,50,1,60,1200,954,246,0,20.5,15.9,79.5,954,28.621,28.956,3.3,55.144,14.522,51.275,53.73,ntp_style_clock_synchronization,2026-05-30T14-46-39-653Z,backend-node_rest-polling_serial_1ms_rep1_2026-05-30T14-46-39-653Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,50,2,60,1200,953,247,0,20.583,15.883,79.417,953,29.147,29.194,3.701,55.052,14.457,51.932,53.731,ntp_style_clock_synchronization,2026-05-30T14-55-50-930Z,backend-node_rest-polling_serial_1ms_rep2_2026-05-30T14-55-50-930Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,50,3,60,1200,954,246,0,20.5,15.9,79.5,954,29.453,29.261,3.796,54.276,14.451,52.123,53.431,ntp_style_clock_synchronization,2026-05-30T15-05-02-185Z,backend-node_rest-polling_serial_1ms_rep3_2026-05-30T15-05-02-185Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,20,1,60,3000,1909,1091,0,36.367,31.817,63.633,1909,14.171,14.099,3.441,24.863,5.821,23.043,24.18,ntp_style_clock_synchronization,2026-05-30T14-46-39-653Z,backend-node_rest-polling_serial_1ms_rep1_2026-05-30T14-46-39-653Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,20,2,60,3000,1907,1093,0,36.433,31.783,63.567,1907,14.122,14.111,3.294,24.93,5.83,23.142,24.072,ntp_style_clock_synchronization,2026-05-30T14-55-50-930Z,backend-node_rest-polling_serial_1ms_rep2_2026-05-30T14-55-50-930Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,20,3,60,3000,1909,1091,0,36.367,31.817,63.633,1909,14.407,14.294,3.564,24.949,5.83,23.37,24.447,ntp_style_clock_synchronization,2026-05-30T15-05-02-185Z,backend-node_rest-polling_serial_1ms_rep3_2026-05-30T15-05-02-185Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,10,1,60,6000,3819,2181,0,36.35,63.65,63.65,3819,9.013,9.005,3.344,14.974,2.974,13.534,14.303,ntp_style_clock_synchronization,2026-05-30T14-46-39-653Z,backend-node_rest-polling_serial_1ms_rep1_2026-05-30T14-46-39-653Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,10,2,60,6000,3820,2180,0,36.333,63.667,63.667,3820,9.138,9.133,3.282,15.331,2.968,13.718,14.36,ntp_style_clock_synchronization,2026-05-30T14-55-50-930Z,backend-node_rest-polling_serial_1ms_rep2_2026-05-30T14-55-50-930Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,10,3,60,6000,3821,2179,0,36.317,63.683,63.683,3821,9.222,9.27,3.398,15.207,2.966,13.769,14.54,ntp_style_clock_synchronization,2026-05-30T15-05-02-185Z,backend-node_rest-polling_serial_1ms_rep3_2026-05-30T15-05-02-185Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,5,1,60,12000,3820,8180,0,68.167,63.667,31.833,3820,6.652,6.679,3.255,10.345,1.564,9.126,9.623,ntp_style_clock_synchronization,2026-05-30T14-46-39-653Z,backend-node_rest-polling_serial_1ms_rep1_2026-05-30T14-46-39-653Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,5,2,60,12000,3827,8173,0,68.108,63.783,31.892,3827,6.766,6.722,3.442,10.131,1.566,9.293,9.64,ntp_style_clock_synchronization,2026-05-30T14-55-50-930Z,backend-node_rest-polling_serial_1ms_rep2_2026-05-30T14-55-50-930Z_scalability_sensor-data.csv
backend-node,rest-polling,serial,5,3,60,12000,3823,8177,0,68.142,63.717,31.858,3823,6.764,6.798,3.36,10.34,1.558,9.248,9.767,ntp_style_clock_synchronization,2026-05-30T15-05-02-185Z,backend-node_rest-polling_serial_1ms_rep3_2026-05-30T15-05-02-185Z_scalability_sensor-data.csv
