file,mode,interval_ms,client_count,replication,duration_seconds,expected_messages_per_client,messages_total_across_clients,producer_rate_messages_per_second,throughput_aggregate_msgps,throughput_aggregate_all_clients,throughput_aggregate_type,throughput_avg_per_client_msgps,throughput_per_client_avg,throughput_per_client_percent_expected,throughput_std_per_client_msgps,fairness_cv,latency_avg_mean_across_clients_ms,latency_p95_worst_client_ms,unique_messages_across_clients,unique_coverage_percent,duplicate_deliveries_across_clients,duplicate_delivery_ratio,cpu_avg_percent,cpu_p95_percent,cpu_max_percent,mem_rss_avg_mb,mem_rss_max_mb,mem_heap_used_avg_mb,latency_method,latency_anomaly,exclude_latency_from_analysis,exclude_throughput_from_analysis,exclude_loss_from_analysis,sync_failed
rest-polling_100ms_10cli_rep1_2026-05-31T05-35-00-706Z_scalability-clients_aggregate.json,rest-polling,100,10,1,60,600,5490,10,91.5,91.5,polling_responses,9.15,9.15,91.5,0,0,54.783,100.391,,,,,6.706,18.634,28.027,104.911,105.547,21.426,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_10cli_rep2_2026-05-31T05-36-03-487Z_scalability-clients_aggregate.json,rest-polling,100,10,2,60,600,5490,10,91.5,91.5,polling_responses,9.15,9.15,91.5,0,0,55.153,101.284,,,,,7.305,18.556,24.398,104.134,105.016,21.176,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_10cli_rep3_2026-05-31T05-37-06-291Z_scalability-clients_aggregate.json,rest-polling,100,10,3,60,600,5490,10,91.5,91.5,polling_responses,9.15,9.15,91.5,0,0,55.197,100.185,,,,,6.706,18.108,28.217,104.952,105.816,21.017,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_1cli_rep1_2026-05-31T05-25-35-863Z_scalability-clients_aggregate.json,rest-polling,100,1,1,60,600,549,10,9.15,9.15,polling_responses,9.15,9.15,91.5,0,0,54.582,99.466,,,,,4.838,12.601,15.784,73.343,80.156,14.862,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_1cli_rep2_2026-05-31T05-26-38-684Z_scalability-clients_aggregate.json,rest-polling,100,1,2,60,600,548,10,9.133,9.133,polling_responses,9.133,9.133,91.33,0,0,54.884,99.985,,,,,3.763,9.16,18.667,83.849,87.414,18.089,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_1cli_rep3_2026-05-31T05-27-41-404Z_scalability-clients_aggregate.json,rest-polling,100,1,3,60,600,548,10,9.133,9.133,polling_responses,9.133,9.133,91.33,0,0,53.807,99.417,,,,,4.369,9.78,12.599,97.246,98.555,21.395,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_20cli_rep1_2026-05-31T05-38-09-029Z_scalability-clients_aggregate.json,rest-polling,100,20,1,60,600,10960,10,182.66,182.66,polling_responses,9.133,9.133,91.33,0,0,55.68,101.71,,,,,9.265,21.713,24.17,105.036,105.715,21.382,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_20cli_rep2_2026-05-31T05-39-11-745Z_scalability-clients_aggregate.json,rest-polling,100,20,2,60,600,10980,10,183,183,polling_responses,9.15,9.15,91.5,0,0,55.95,102.593,,,,,10.94,24.773,27.893,100.182,105.152,20.468,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_20cli_rep3_2026-05-31T05-40-14-492Z_scalability-clients_aggregate.json,rest-polling,100,20,3,60,600,10980,10,183,183,polling_responses,9.15,9.15,91.5,0,0,56.073,102.49,,,,,9.751,21.274,27.328,105.147,105.898,21.385,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_2cli_rep1_2026-05-31T05-28-44-121Z_scalability-clients_aggregate.json,rest-polling,100,2,1,60,600,1096,10,18.266,18.266,polling_responses,9.133,9.133,91.33,0,0,54.157,99.362,,,,,4.762,12.165,15.602,100.752,102.223,21.524,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_2cli_rep2_2026-05-31T05-29-46-879Z_scalability-clients_aggregate.json,rest-polling,100,2,2,60,600,1098,10,18.3,18.3,polling_responses,9.15,9.15,91.5,0,0,54.547,99.936,,,,,4.256,9.798,15.568,102.414,103.137,21.487,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_2cli_rep3_2026-05-31T05-30-49-685Z_scalability-clients_aggregate.json,rest-polling,100,2,3,60,600,1096,10,18.266,18.266,polling_responses,9.133,9.133,91.33,0,0,54.324,99.707,,,,,3.657,6.391,12.311,102.862,103.316,21.226,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_5cli_rep1_2026-05-31T05-31-52-365Z_scalability-clients_aggregate.json,rest-polling,100,5,1,60,600,2745,10,45.75,45.75,polling_responses,9.15,9.15,91.5,0,0,54.773,99.363,,,,,5.939,15.647,30.493,99.809,104.074,20.435,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_5cli_rep2_2026-05-31T05-32-55-148Z_scalability-clients_aggregate.json,rest-polling,100,5,2,60,600,2745,10,45.75,45.75,polling_responses,9.15,9.15,91.5,0,0,54.621,99.696,,,,,5.32,15.193,15.606,91.758,103.586,19.172,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_100ms_5cli_rep3_2026-05-31T05-33-57-898Z_scalability-clients_aggregate.json,rest-polling,100,5,3,60,600,2745,10,45.75,45.75,polling_responses,9.15,9.15,91.5,0,0,54.483,100.345,,,,,5.057,12.98,18.308,104.2,105.211,21.563,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_10cli_rep1_2026-05-31T06-22-03-701Z_scalability-clients_aggregate.json,rest-polling,10,10,1,60,6000,38420,100,640.33,640.33,polling_responses,64.033,64.033,64.033,0,0,10.136,15.331,,,,,52.884,107.206,136.89,108.561,109.363,22.357,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_10cli_rep2_2026-05-31T06-23-06-437Z_scalability-clients_aggregate.json,rest-polling,10,10,2,60,6000,38448,100,640.798,640.798,polling_responses,64.08,64.08,64.08,0.006,0.0001,10.123,15.403,,,,,49.308,99.691,121.587,109.004,109.816,22.734,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_10cli_rep3_2026-05-31T06-24-09-162Z_scalability-clients_aggregate.json,rest-polling,10,10,3,60,6000,38420,100,640.33,640.33,polling_responses,64.033,64.033,64.033,0,0,10.206,15.46,,,,,52.744,103.27,127.461,109.623,110.242,22.773,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_1cli_rep1_2026-05-31T06-12-39-279Z_scalability-clients_aggregate.json,rest-polling,10,1,1,60,6000,3840,100,64,64,polling_responses,64,64,64,0,0,9.134,13.783,,,,,38.536,53.076,61.03,97.206,108.027,20.696,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_1cli_rep2_2026-05-31T06-13-41-990Z_scalability-clients_aggregate.json,rest-polling,10,1,2,60,6000,3844,100,64.067,64.067,polling_responses,64.067,64.067,64.067,0,0,9.067,13.633,,,,,37.165,50.001,59.473,105.713,106.598,22.977,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_1cli_rep3_2026-05-31T06-14-44-694Z_scalability-clients_aggregate.json,rest-polling,10,1,3,60,6000,3840,100,64,64,polling_responses,64,64,64,0,0,9.119,13.709,,,,,38.115,47.276,66.929,106.63,107.004,22.746,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_20cli_rep1_2026-05-31T06-25-11-877Z_scalability-clients_aggregate.json,rest-polling,10,20,1,60,6000,76879,100,1281.323,1281.323,polling_responses,64.066,64.066,64.066,0.004,0.0001,11.21,17.154,,,,,71.122,124.737,149.188,110.024,110.91,23.04,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_20cli_rep2_2026-05-31T06-26-14-614Z_scalability-clients_aggregate.json,rest-polling,10,20,2,60,6000,76853,100,1280.882,1280.882,polling_responses,64.044,64.044,64.044,0.01,0.0001,11.172,17.091,,,,,57.074,121.526,134.351,110.105,110.703,23.266,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_20cli_rep3_2026-05-31T06-27-17-370Z_scalability-clients_aggregate.json,rest-polling,10,20,3,60,6000,76838,100,1280.63,1280.63,polling_responses,64.031,64.032,64.032,0.009,0.0001,11.164,17.126,,,,,61.203,119.232,134.703,111.079,111.668,23.507,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_2cli_rep1_2026-05-31T06-15-47-427Z_scalability-clients_aggregate.json,rest-polling,10,2,1,60,6000,7684,100,128.066,128.066,polling_responses,64.033,64.033,64.033,0,0,9.23,13.921,,,,,40.911,67.284,96.668,105.318,107.262,22.508,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_2cli_rep2_2026-05-31T06-16-50-151Z_scalability-clients_aggregate.json,rest-polling,10,2,2,60,6000,7682,100,128.034,128.034,polling_responses,64.017,64.017,64.017,0,0,9.3,13.983,,,,,40.238,63.127,90.953,101.641,105.199,21.907,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_2cli_rep3_2026-05-31T06-17-52-863Z_scalability-clients_aggregate.json,rest-polling,10,2,3,60,6000,7678,100,127.966,127.966,polling_responses,63.983,63.983,63.983,0,0,9.364,14.059,,,,,41.116,65.183,78.295,106.688,107.602,22.756,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_5cli_rep1_2026-05-31T06-18-55-584Z_scalability-clients_aggregate.json,rest-polling,10,5,1,60,6000,19205,100,320.085,320.085,polling_responses,64.017,64.017,64.017,0,0,9.675,14.562,,,,,53.09,97.574,112.218,106.703,107.375,22.909,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_5cli_rep2_2026-05-31T06-19-58-293Z_scalability-clients_aggregate.json,rest-polling,10,5,2,60,6000,19210,100,320.165,320.165,polling_responses,64.033,64.033,64.033,0,0,9.691,14.596,,,,,45.241,84.023,108.649,106.963,107.805,22.857,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_10ms_5cli_rep3_2026-05-31T06-21-01-021Z_scalability-clients_aggregate.json,rest-polling,10,5,3,60,6000,19215,100,320.25,320.25,polling_responses,64.05,64.05,64.05,0,0,9.617,14.468,,,,,46.56,81.509,106.337,107.208,107.898,22.613,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_10cli_rep1_2026-05-31T06-06-22-867Z_scalability-clients_aggregate.json,rest-polling,20,10,1,60,3000,19200,50,320,320,polling_responses,32,32,64,0,0,15.041,24.672,,,,,27.668,59.972,88.005,105.891,106.902,22.239,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_10cli_rep2_2026-05-31T06-07-25-581Z_scalability-clients_aggregate.json,rest-polling,20,10,2,60,3000,19210,50,320.17,320.17,polling_responses,32.017,32.017,64.034,0,0,15.022,24.688,,,,,25.283,61.091,67.098,106.041,106.73,21.522,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_10cli_rep3_2026-05-31T06-08-28-327Z_scalability-clients_aggregate.json,rest-polling,20,10,3,60,3000,19200,50,320,320,polling_responses,32,32,64,0,0,15.053,24.798,,,,,24.139,50.06,68.684,105.974,106.926,21.936,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_1cli_rep1_2026-05-31T05-56-58-354Z_scalability-clients_aggregate.json,rest-polling,20,1,1,60,3000,1920,50,32,32,polling_responses,32,32,64,0,0,13.99,22.932,,,,,20.022,30.323,39.795,89.499,106.152,18.328,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_1cli_rep2_2026-05-31T05-58-01-061Z_scalability-clients_aggregate.json,rest-polling,20,1,2,60,3000,1920,50,32,32,polling_responses,32,32,64,0,0,14.147,23.148,,,,,18.9,27.241,40.604,103.357,104.23,22.016,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_1cli_rep3_2026-05-31T05-59-03-788Z_scalability-clients_aggregate.json,rest-polling,20,1,3,60,3000,1919,50,31.983,31.983,polling_responses,31.983,31.983,63.966,0,0,14.134,23.219,,,,,19.051,27.897,37.299,104.202,104.57,21.943,ntp_style_clock_synchronization,,false,false,false,false
