file,mode,interval_ms,client_count,replication,duration_seconds,expected_messages_per_client,messages_total_across_clients,throughput_aggregate_msgps,throughput_avg_per_client_msgps,throughput_std_per_client_msgps,fairness_cv,latency_avg_mean_across_clients_ms,latency_p95_worst_client_ms,cpu_avg_percent,cpu_p95_percent,cpu_max_percent,mem_rss_avg_mb,mem_rss_max_mb,mem_heap_used_avg_mb,latency_method,sync_failed
rest-polling_100ms_10cli_rep1_2026-05-31T05-35-00-706Z_scalability-clients_aggregate.json,rest-polling,100,10,1,60,600,5490,91.5,9.15,0,0,54.783,100.391,6.706,18.634,28.027,104.911,105.547,21.426,ntp_style_clock_synchronization,false
rest-polling_100ms_10cli_rep2_2026-05-31T05-36-03-487Z_scalability-clients_aggregate.json,rest-polling,100,10,2,60,600,5490,91.5,9.15,0,0,55.153,101.284,7.305,18.556,24.398,104.134,105.016,21.176,ntp_style_clock_synchronization,false
rest-polling_100ms_10cli_rep3_2026-05-31T05-37-06-291Z_scalability-clients_aggregate.json,rest-polling,100,10,3,60,600,5490,91.5,9.15,0,0,55.197,100.185,6.706,18.108,28.217,104.952,105.816,21.017,ntp_style_clock_synchronization,false
rest-polling_100ms_1cli_rep1_2026-05-31T05-25-35-863Z_scalability-clients_aggregate.json,rest-polling,100,1,1,60,600,549,9.15,9.15,0,0,54.582,99.466,4.838,12.601,15.784,73.343,80.156,14.862,ntp_style_clock_synchronization,false
rest-polling_100ms_1cli_rep2_2026-05-31T05-26-38-684Z_scalability-clients_aggregate.json,rest-polling,100,1,2,60,600,548,9.133,9.133,0,0,54.884,99.985,3.763,9.16,18.667,83.849,87.414,18.089,ntp_style_clock_synchronization,false
rest-polling_100ms_1cli_rep3_2026-05-31T05-27-41-404Z_scalability-clients_aggregate.json,rest-polling,100,1,3,60,600,548,9.133,9.133,0,0,53.807,99.417,4.369,9.78,12.599,97.246,98.555,21.395,ntp_style_clock_synchronization,false
rest-polling_100ms_20cli_rep1_2026-05-31T05-38-09-029Z_scalability-clients_aggregate.json,rest-polling,100,20,1,60,600,10960,182.66,9.133,0,0,55.68,101.71,9.265,21.713,24.17,105.036,105.715,21.382,ntp_style_clock_synchronization,false
rest-polling_100ms_20cli_rep2_2026-05-31T05-39-11-745Z_scalability-clients_aggregate.json,rest-polling,100,20,2,60,600,10980,183,9.15,0,0,55.95,102.593,10.94,24.773,27.893,100.182,105.152,20.468,ntp_style_clock_synchronization,false
rest-polling_100ms_20cli_rep3_2026-05-31T05-40-14-492Z_scalability-clients_aggregate.json,rest-polling,100,20,3,60,600,10980,183,9.15,0,0,56.073,102.49,9.751,21.274,27.328,105.147,105.898,21.385,ntp_style_clock_synchronization,false
rest-polling_100ms_2cli_rep1_2026-05-31T05-28-44-121Z_scalability-clients_aggregate.json,rest-polling,100,2,1,60,600,1096,18.266,9.133,0,0,54.157,99.362,4.762,12.165,15.602,100.752,102.223,21.524,ntp_style_clock_synchronization,false
rest-polling_100ms_2cli_rep2_2026-05-31T05-29-46-879Z_scalability-clients_aggregate.json,rest-polling,100,2,2,60,600,1098,18.3,9.15,0,0,54.547,99.936,4.256,9.798,15.568,102.414,103.137,21.487,ntp_style_clock_synchronization,false
rest-polling_100ms_2cli_rep3_2026-05-31T05-30-49-685Z_scalability-clients_aggregate.json,rest-polling,100,2,3,60,600,1096,18.266,9.133,0,0,54.324,99.707,3.657,6.391,12.311,102.862,103.316,21.226,ntp_style_clock_synchronization,false
rest-polling_100ms_5cli_rep1_2026-05-31T05-31-52-365Z_scalability-clients_aggregate.json,rest-polling,100,5,1,60,600,2745,45.75,9.15,0,0,54.773,99.363,5.939,15.647,30.493,99.809,104.074,20.435,ntp_style_clock_synchronization,false
rest-polling_100ms_5cli_rep2_2026-05-31T05-32-55-148Z_scalability-clients_aggregate.json,rest-polling,100,5,2,60,600,2745,45.75,9.15,0,0,54.621,99.696,5.32,15.193,15.606,91.758,103.586,19.172,ntp_style_clock_synchronization,false
