Arquitetura,N clientes,Throughput agreg. medio (msg/s),Throughput agreg. desv (msg/s),Throughput/cliente medio (msg/s),Throughput/cliente desv (msg/s),Latencia media (ms),Latencia media desv (ms),Latencia P95 pior cliente (ms),Latencia P95 desv (ms),Fairness CV medio,Cobertura unica (%),Razao duplicacao,N reps
REST Polling,1,9.138666666666666,0.00981495457622512,9.138666666666666,0.00981495457622512,54.42433333333333,0.5555414775994084,99.62266666666666,0.31474487022560516,0.0,,,3
REST Polling,2,18.27733333333333,0.019629909152448704,9.138666666666666,0.009814954576224352,54.342666666666666,0.1956689380901666,99.66833333333334,0.2889469386121549,0.0,,,3
REST Polling,5,45.75,0.0,9.15,0.0,54.62566666666667,0.14505631090488352,99.80133333333333,0.49940197570027006,0.0,,,3
REST Polling,10,91.5,0.0,9.15,0.0,55.044333333333334,0.22738806770218256,100.62,0.5841926052253672,0.0,,,3
REST Polling,20,182.88666666666666,0.196299091524485,9.144333333333334,0.009814954576223712,55.901,0.20102984853001724,102.26433333333334,0.4828212229524895,0.0,,,3
WebSerial,1,9.988666666666667,0.009814954576223327,9.988666666666667,0.009814954576223327,3.638,0.025514701644346226,4.473333333333334,0.018475208614067977,0.0,99.88866666666667,0.0,3
WebSocket,1,10.0,0.0,10.0,0.0,4.009333333333333,0.05441813423237966,4.865666666666667,0.06860272103447024,0.0,100.0,0.0,3
WebSocket,2,20.0,0.0,10.0,0.0,4.000666666666667,0.03066485501895175,4.857333333333333,0.016802777548171402,0.0,100.0,0.5,3
WebSocket,5,49.98866666666667,0.019629909152447677,9.997666666666667,0.004041451884327319,3.9790000000000005,0.017349351572897437,4.845666666666666,0.017897858344878094,0.00046666666666666666,100.05566666666668,0.7998333333333334,3
WebSocket,10,100.0,0.0,10.0,0.0,4.077333333333333,0.008082903768654833,5.035333333333333,0.014502873278538013,0.0,100.0,0.9,3
WebSocket,20,200.0,0.0,10.0,0.0,4.256666666666667,0.07487545214109448,5.293333333333334,0.09768486747359237,0.0,100.0,0.9499999999999998,3
