Arquitetura,N clientes,CPU media (%),CPU desv (%),CPU P95 (%),CPU max (%),RSS media (MB),RSS desv (MB),RSS max (MB),Heap usado medio (MB),N reps
REST Polling,1,4.323333333333333,0.538952997332173,10.513666666666667,15.683333333333332,84.81266666666666,11.9806027533398,88.70833333333333,18.115333333333336,3
REST Polling,2,4.2250000000000005,0.5531518778780383,9.451333333333332,14.493666666666668,102.00933333333334,1.111684007860748,102.892,21.412333333333333,3
REST Polling,5,5.438666666666667,0.4528160038396758,14.606666666666667,21.468999999999998,98.589,6.310082487574949,104.29033333333332,20.39,3
REST Polling,10,6.905666666666666,0.34583281124458554,18.432666666666666,26.880666666666666,104.66566666666667,0.4608929738381078,105.45966666666668,21.206333333333333,3
REST Polling,20,9.985333333333333,0.8617368121029374,22.58666666666667,26.46366666666667,103.455,2.835044444096072,105.58833333333332,21.078333333333333,3
WebSocket,1,4.150666666666667,0.2435083845236816,7.397333333333333,12.373,69.296,1.5201812391948555,72.35966666666667,14.181,3
WebSocket,2,3.9653333333333336,0.5128180314042531,7.393000000000001,10.393333333333333,74.96033333333332,1.9785980727104011,75.50633333333333,16.392333333333333,3
WebSocket,5,3.672,0.5875772289665421,6.426333333333333,8.402333333333333,76.71,0.26841944787962496,76.957,16.669999999999998,3
WebSocket,10,4.285,0.11831736981525612,6.401,9.402666666666667,77.337,0.1880239346466311,77.711,16.146333333333335,3
WebSocket,20,4.748,0.11357816691600514,7.400333333333333,11.597666666666667,78.86433333333333,0.05499393905998565,78.98433333333332,18.361666666666668,3
