source_file,experiment_id,architecture,communication_mode,source,started_at,stopped_at,interval_ms,duration_seconds,expected_messages,received_messages,missing_messages,sequence_gap_messages,throughput_percent,messages_per_second,estimated_latency_avg_ms,estimated_latency_min_ms,estimated_latency_max_ms,estimated_latency_std_ms,estimated_latency_p95_ms,uncertainty_avg_ms,uncertainty_p95_ms,uncertainty_max_ms,invalid_messages,application_version,replication_number,environment,saturation_indicators,saturation_status
backend-node_rest-polling_wifi-http_20ms_rep1_2026-06-04T05-39-57-906Z_campaign-summary.csv,exp-2026-06-04T05-33-55-330Z,backend-node,rest-polling,wifi-http,2026-06-04T05:33:55.330Z,2026-06-04T05:34:55.928Z,1000,60,60,59,1,514,98.333,0.974,156.669,88.592,216.458,36.502,215.929,0.271,0.271,0.271,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:33:55.331Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=1000; campaignType=official,message_loss_detected,A partir de 1000 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep1_2026-06-04T05-39-57-906Z_campaign-summary.csv,exp-2026-06-04T05-34-56-232Z,backend-node,rest-polling,wifi-http,2026-06-04T05:34:56.232Z,2026-06-04T05:35:56.444Z,500,60,120,117,3,460,97.5,1.943,156.5,87.663,272.153,37.451,217.126,0.272,0.272,0.272,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:34:56.233Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=500; campaignType=official,message_loss_detected,A partir de 500 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep1_2026-06-04T05-39-57-906Z_campaign-summary.csv,exp-2026-06-04T05-35-56-754Z,backend-node,rest-polling,wifi-http,2026-06-04T05:35:56.754Z,2026-06-04T05:36:56.890Z,200,60,300,295,5,289,98.333,4.906,151.674,86.806,228.518,33.399,209.994,0.274,0.274,0.274,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:35:56.755Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=200; campaignType=official,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep1_2026-06-04T05-39-57-906Z_campaign-summary.csv,exp-2026-06-04T05-36-57-202Z,backend-node,rest-polling,wifi-http,2026-06-04T05:36:57.202Z,2026-06-04T05:37:57.204Z,100,60,600,501,99,83,83.5,8.35,149.499,89.299,228.41,31.108,197.193,0.267,0.267,0.267,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:36:57.202Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=100; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep1_2026-06-04T05-39-57-906Z_campaign-summary.csv,exp-2026-06-04T05-37-57-514Z,backend-node,rest-polling,wifi-http,2026-06-04T05:37:57.514Z,2026-06-04T05:38:57.552Z,50,60,1200,584,616,0,48.667,9.727,134.706,88.066,261.043,27.14,179.906,0.274,0.274,0.274,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:37:57.514Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=50; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 50 ms o throughput caiu abaixo de 95%. | A partir de 50 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep1_2026-06-04T05-39-57-906Z_campaign-summary.csv,exp-2026-06-04T05-38-57-864Z,backend-node,rest-polling,wifi-http,2026-06-04T05:38:57.864Z,2026-06-04T05:39:57.889Z,20,60,3000,584,2416,0,19.467,9.729,118.337,88.332,244.022,21.234,150.767,0.266,0.266,0.266,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:38:57.865Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=20; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep2_2026-06-04T05-46-00-542Z_campaign-summary.csv,exp-2026-06-04T05-39-58-216Z,backend-node,rest-polling,wifi-http,2026-06-04T05:39:58.216Z,2026-06-04T05:40:58.783Z,1000,60,60,59,1,512,98.333,0.974,150.315,95.104,231.435,33.318,216.527,0.235,0.235,0.235,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:39:58.216Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=1000; campaignType=official,message_loss_detected,A partir de 1000 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep2_2026-06-04T05-46-00-542Z_campaign-summary.csv,exp-2026-06-04T05-40-59-094Z,backend-node,rest-polling,wifi-http,2026-06-04T05:40:59.094Z,2026-06-04T05:41:59.104Z,500,60,120,117,3,457,97.5,1.95,151.025,90.719,258.715,35.008,215.608,0.234,0.234,0.234,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:40:59.095Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=500; campaignType=official,message_loss_detected,A partir de 500 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep2_2026-06-04T05-46-00-542Z_campaign-summary.csv,exp-2026-06-04T05-41-59-416Z,backend-node,rest-polling,wifi-http,2026-06-04T05:41:59.416Z,2026-06-04T05:42:59.512Z,200,60,300,295,5,285,98.333,4.909,154.102,91.183,368.88,38.578,218.338,0.232,0.232,0.232,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:41:59.416Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=200; campaignType=official,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep2_2026-06-04T05-46-00-542Z_campaign-summary.csv,exp-2026-06-04T05-42-59-825Z,backend-node,rest-polling,wifi-http,2026-06-04T05:42:59.825Z,2026-06-04T05:43:59.863Z,100,60,600,512,88,72,85.333,8.528,151.439,89.302,275.673,31.893,199.872,0.245,0.245,0.245,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:42:59.826Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=100; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep2_2026-06-04T05-46-00-542Z_campaign-summary.csv,exp-2026-06-04T05-44-00-173Z,backend-node,rest-polling,wifi-http,2026-06-04T05:44:00.173Z,2026-06-04T05:45:00.212Z,50,60,1200,582,618,0,48.5,9.694,135.16,90.36,257.569,26.219,181.512,0.275,0.275,0.275,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T05:44:00.174Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=50; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 50 ms o throughput caiu abaixo de 95%. | A partir de 50 ms foram detectadas perdas de mensagens.
