source_file,experiment_id,architecture,communication_mode,source,started_at,stopped_at,interval_ms,duration_seconds,expected_messages,received_messages,missing_messages,sequence_gap_messages,throughput_percent,messages_per_second,estimated_latency_avg_ms,estimated_latency_min_ms,estimated_latency_max_ms,estimated_latency_std_ms,estimated_latency_p95_ms,uncertainty_avg_ms,uncertainty_p95_ms,uncertainty_max_ms,invalid_messages,application_version,replication_number,environment,saturation_indicators,saturation_status
backend-node_rest-polling_wifi-http_1000ms_rep1_2026-06-04T14-03-45-356Z_campaign-summary.csv,exp-2026-06-04T14-02-44-871Z,backend-node,rest-polling,wifi-http,2026-06-04T14:02:44.871Z,2026-06-04T14:03:45.352Z,1000,60,60,57,3,3,95,0.942,766.21,20.068,1049.549,230.099,1007.872,0.29,0.29,0.29,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:02:44.871Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=1000; campaignType=official,message_loss_detected,A partir de 1000 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_1000ms_rep2_2026-06-04T14-09-48-404Z_campaign-summary.csv,exp-2026-06-04T14-08-47-945Z,backend-node,rest-polling,wifi-http,2026-06-04T14:08:47.945Z,2026-06-04T14:09:48.401Z,1000,60,60,59,1,7,98.333,0.976,525.307,106.456,738.966,132.243,722.871,0.255,0.255,0.255,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:08:47.946Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=1000; campaignType=official,message_loss_detected,A partir de 1000 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_1000ms_rep3_2026-06-04T14-15-51-442Z_campaign-summary.csv,exp-2026-06-04T14-14-50-977Z,backend-node,rest-polling,wifi-http,2026-06-04T14:14:50.977Z,2026-06-04T14:15:51.439Z,1000,60,60,58,2,3,96.667,0.959,367.902,30.792,1018.547,323.393,1000.205,0.252,0.252,0.252,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:14:50.978Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=1000; campaignType=official,message_loss_detected,A partir de 1000 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_100ms_rep1_2026-06-04T14-06-46-919Z_campaign-summary.csv,exp-2026-06-04T14-05-46-862Z,backend-node,rest-polling,wifi-http,2026-06-04T14:05:46.862Z,2026-06-04T14:06:46.910Z,100,60,600,492,108,82,82,8.193,80.888,19.339,237.244,34.339,139.923,0.274,0.274,0.274,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:05:46.863Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=100; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_100ms_rep2_2026-06-04T14-12-49-955Z_campaign-summary.csv,exp-2026-06-04T14-11-49-890Z,backend-node,rest-polling,wifi-http,2026-06-04T14:11:49.890Z,2026-06-04T14:12:49.946Z,100,60,600,497,103,77,82.833,8.276,83.511,22.188,208.03,32.26,130.862,0.222,0.222,0.222,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:11:49.891Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=100; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_100ms_rep3_2026-06-04T14-18-52-898Z_campaign-summary.csv,exp-2026-06-04T14-17-52-849Z,backend-node,rest-polling,wifi-http,2026-06-04T14:17:52.849Z,2026-06-04T14:18:52.890Z,100,60,600,489,111,81,81.5,8.144,85.088,24.266,241.246,34.382,143.776,0.229,0.229,0.229,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:17:52.850Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=100; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_200ms_rep1_2026-06-04T14-05-46-559Z_campaign-summary.csv,exp-2026-06-04T14-04-46-423Z,backend-node,rest-polling,wifi-http,2026-06-04T14:04:46.423Z,2026-06-04T14:05:46.553Z,200,60,300,276,24,20,92,4.59,132.406,20.011,327.133,62.882,221.817,0.283,0.283,0.283,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:04:46.424Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=200; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 200 ms o throughput caiu abaixo de 95%. | A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_200ms_rep2_2026-06-04T14-11-49-580Z_campaign-summary.csv,exp-2026-06-04T14-10-49-453Z,backend-node,rest-polling,wifi-http,2026-06-04T14:10:49.453Z,2026-06-04T14:11:49.575Z,200,60,300,276,24,23,92,4.591,137.602,22.619,283.651,66.595,248.868,0.263,0.263,0.263,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:10:49.454Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=200; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 200 ms o throughput caiu abaixo de 95%. | A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_200ms_rep3_2026-06-04T14-17-52-543Z_campaign-summary.csv,exp-2026-06-04T14-16-52-461Z,backend-node,rest-polling,wifi-http,2026-06-04T14:16:52.461Z,2026-06-04T14:17:52.538Z,200,60,300,267,33,27,89,4.444,135.966,27.638,301.514,64.264,227.85,0.249,0.249,0.249,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:16:52.461Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=200; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 200 ms o throughput caiu abaixo de 95%. | A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep1_2026-06-04T14-08-47-628Z_campaign-summary.csv,exp-2026-06-04T14-07-47-598Z,backend-node,rest-polling,wifi-http,2026-06-04T14:07:47.598Z,2026-06-04T14:08:47.619Z,20,60,3000,669,2331,0,22.3,11.146,53.752,20.405,177.024,30.521,114.399,0.281,0.281,0.281,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:07:47.599Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=20; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep2_2026-06-04T14-14-50-661Z_campaign-summary.csv,exp-2026-06-04T14-13-50-628Z,backend-node,rest-polling,wifi-http,2026-06-04T14:13:50.628Z,2026-06-04T14:14:50.652Z,20,60,3000,636,2364,0,21.2,10.596,60.821,23.109,171.071,33.746,130.846,0.244,0.244,0.244,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:13:50.629Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=20; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_20ms_rep3_2026-06-04T14-20-53-575Z_campaign-summary.csv,exp-2026-06-04T14-19-53-549Z,backend-node,rest-polling,wifi-http,2026-06-04T14:19:53.549Z,2026-06-04T14:20:53.566Z,20,60,3000,675,2325,0,22.5,11.247,58.58,24.034,168.869,32.057,132.435,0.233,0.233,0.233,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:19:53.550Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=20; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_500ms_rep1_2026-06-04T14-04-46-116Z_campaign-summary.csv,exp-2026-06-04T14-03-45-666Z,backend-node,rest-polling,wifi-http,2026-06-04T14:03:45.666Z,2026-06-04T14:04:46.112Z,500,60,120,110,10,8,91.667,1.82,274.266,19.287,551.485,148.55,502.832,0.286,0.286,0.286,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:03:45.667Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=500; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 500 ms o throughput caiu abaixo de 95%. | A partir de 500 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_wifi-http_500ms_rep2_2026-06-04T14-10-49-146Z_campaign-summary.csv,exp-2026-06-04T14-09-48-715Z,backend-node,rest-polling,wifi-http,2026-06-04T14:09:48.715Z,2026-06-04T14:10:49.143Z,500,60,120,116,4,3,96.667,1.92,295.333,21.577,579.578,138.223,506.812,0.247,0.247,0.247,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:09:48.715Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=wifi-http; intervalMs=500; campaignType=official,message_loss_detected,A partir de 500 ms foram detectadas perdas de mensagens.
